No,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,cluster,product_name,certainty,anomaly
7820,30.0,35.0,15.0,25.0,1.0795,1987.0,2190.0,90.0,0,Protein Chewy Granola Bars,0.96,0
7821,30.0,35.0,15.0,25.0,1.143,1987.0,2190.0,90.0,0,Protein Chewy Granola Bars,0.96,0
7822,1.79,0.0,0.0,16.07,1.49606,335.0,343.0,17.86,8,Chicken Breast,1.0,0
7823,1.79,0.0,0.0,16.07,1.5875,335.0,343.0,17.86,8,Chicken Breast With Rib Meat,1.0,0
7824,2.68,0.0,0.0,16.07,1.36144,372.0,377.71,18.75,8,Chicken Breast With Rib Meat,1.0,0
7825,10.0,0.0,0.0,12.0,0.3556,586.0,594.0,22.0,8,Hard Cooked Peeled Eggs,0.99,0
7826,2.56,42.74,10.26,4.27,0.93472,895.0,899.0100000000001,49.57000000000001,7,"Pancakes, Buttermilk",1.0,0
7827,0.0,3.57,0.0,0.0,2.44856,75.0,60.69,3.57,12,Kosher Dill Pickle Spears,1.0,0
7828,0.0,17.86,17.86,0.0,0.7721600000000001,372.0,303.62,17.86,12,Bread And Butter Chips Pickles,1.0,0
7829,0.0,28.57,28.57,0.0,1.27,523.0,485.69,28.57,12,Zesty Sweet Chunks,1.0,0
7830,0.0,3.57,0.0,0.0,0.90678,0.0,60.69,3.57,12,Kosher Dill Spears,1.0,0
7831,28.12,3.12,0.0,25.0,2.2225,1439.0,1574.72,56.24,8,Ultra Thin Sliced Provolone Cheese,1.0,0
7832,31.25,3.12,0.0,21.88,1.82626,1699.0,1643.75,56.25,8,"Ultra Thin, Sliced Colby Jack Cheese",0.99,0
7833,28.12,6.25,0.0,28.12,0.47752,1569.0,1680.97,62.49000000000001,8,Ultra Thin Sliced Swiss Cheese,0.95,1
7834,32.14,3.57,0.0,25.0,1.63322,1644.0,1739.15,60.71,4,Sharp Cheddar Cheese,1.0,0
7835,32.14,0.0,0.0,25.0,1.63322,1644.0,1678.46,57.14,4,Cracker Cut Sharp Cheddar Cheese,1.0,0
7836,32.14,3.57,0.0,21.43,1.81356,1644.0,1678.46,57.14,8,Cracker Cut Colby Jack Cheese,1.0,0
7837,32.14,0.0,0.0,25.0,1.63322,1644.0,1678.46,57.14,4,New York Extra Sharp Cheddar Cheese,1.0,0
7838,28.57,3.57,0.0,25.0,1.54178,1494.0,1599.92,57.14,4,Pepper Jack,1.0,0
7839,21.43,3.57,0.0,28.57,1.54178,1197.0,1382.15,53.57,8,Mozzarella Cheese,0.99,0
7840,32.14,3.57,0.0,21.43,1.81356,1644.0,1678.46,57.14,8,Colby Jack Cheese,1.0,0
7841,32.14,3.57,0.0,25.0,1.54178,1644.0,1739.15,60.71,4,Natural Colby Cheese,1.0,0
7842,32.14,0.0,0.0,25.0,1.63322,1644.0,1678.46,57.14,4,Mild Cheddar Cheese,1.0,0
7843,32.14,0.0,0.0,25.0,1.63322,1644.0,1678.46,57.14,4,Natural Sharp Cheddar Cheese,1.0,0
7844,33.33,10.0,6.67,0.0,2.20218,1536.0,1469.87,43.33,8,"Dressing & Marinade, House Italian",0.96,0
7845,0.0,10.0,6.67,0.0,2.96418,209.0,170.0,10.0,12,Fat Free Dressing & Marinade,1.0,0
7846,36.67,6.67,6.67,3.33,2.54,1536.0,1600.13,46.67,8,Bacon Ranch Dressing & Dip,0.99,0
7847,0.0,2.92,2.92,0.0,0.01016,50.0,49.64,2.92,1,"Blue Raspberry Drink, Blue Raspberry",1.0,0
7848,0.0,59.65,47.37,7.02,0.75692,1100.0,1133.39,66.67,12,"Fresh Selections, Angel Food Cake Ring",1.0,0
7849,7.86,19.29,7.14,1.43,0.74422,628.0,658.78,28.58,7,American Potato Salad,1.0,0
7850,0.0,74.51,58.82,3.92,0.19812,1314.0,1333.3100000000004,78.43,12,Fruit Flavored Snacks With Real Fruit Juice*,1.0,0
7851,0.0,0.0,0.0,0.0,0.00254,0.0,0.0,0.0,1,"Sparkling Water Beverage, Black Cherry",1.0,0
7852,0.0,0.0,0.0,0.0,0.00254,0.0,0.0,0.0,1,Raspberry Water,1.0,0
7853,0.0,0.0,0.0,0.0,0.00254,0.0,0.0,0.0,1,Flavored Sparkling Water Beverage,1.0,0
7854,0.0,0.0,0.0,0.0,0.00254,0.0,0.0,0.0,1,"Sparkling Water Beverage, Tangerine Lime",1.0,0
7855,0.0,0.0,0.0,0.0,0.00254,0.0,0.0,0.0,1,"Sparkling Water Beverage, Kiwi Strawberry",1.0,0
7856,0.0,0.0,0.0,0.0,0.00254,0.0,0.0,0.0,1,Sparkling Water,1.0,0
7857,25.0,67.86,0.0,7.14,1.04394,2092.0,2250.0,100.0,2,Crispy Rounds Tortilla Chips,0.62,0
7858,35.71,53.57,0.0,7.14,1.27,2389.0,2424.76,96.42,5,"Potato Chips, Ripple",0.8,0
7859,35.71,57.14,3.57,7.14,2.63144,2389.0,2485.4500000000007,99.99,2,"Wavy Potato Chips, Cheddar & Sour Cream",0.96,0
7860,35.71,53.57,0.0,7.14,1.27,2389.0,2424.76,96.42,5,Classic Potato Chips,0.8,0
7861,35.71,53.57,0.0,7.14,1.27,2389.0,2424.76,96.42,5,Wavy Potato Chips,0.8,0
7862,28.57,53.57,3.57,3.57,1.27,2092.0,2085.61,85.71,2,Cheese Puffs,0.75,0
7863,28.57,53.57,3.57,3.57,1.27,2092.0,2085.61,85.71,2,Cheese Balls,0.75,0
7864,42.86,42.86,3.57,3.57,1.81356,2389.0,2460.85,89.28999999999998,2,"Pops, Cheese",0.86,0
7865,32.14,53.57,3.57,7.14,2.81178,2092.0,2285.53,92.85,2,"Kurls, Cheese",0.99,0
7866,42.86,46.43,3.57,7.14,2.26822,2540.0,2582.23,96.43,2,"Popcorn, White Cheddar",0.79,0
7867,50.0,39.29,0.0,7.14,1.54178,2690.0,2739.31,96.43,5,Butter Popcorn,0.84,0
7868,0.0,78.57,60.71,3.57,0.0,1343.0,1396.38,82.13999999999999,12,100% Natural California Raisins,1.0,0
7869,0.0,80.0,60.0,2.5,0.0,1255.0,1402.5,82.5,12,100% Natural California Raisins,1.0,0
7870,0.0,80.0,60.0,2.5,0.0,1255.0,1402.5,82.5,12,100% Natural California Raisins,1.0,0
7871,2.5,82.5,65.0,0.0,0.0,1255.0,1500.0,85.0,5,Cranberries,0.92,1
7872,25.0,67.86,0.0,7.14,1.04394,2092.0,2250.0,100.0,2,Tortilla Chips,0.62,0
7873,10.59,32.94,2.35,7.06,1.34366,1033.0,1093.01,50.59,7,"Pizza Bites, Sausage & Pepperoni Pizza Wrapped In A Crispy Browned Crust",0.95,0
7874,4.46,0.0,0.0,19.64,0.81534,523.0,507.82,24.1,8,Chunk Light Tuna In Oil,1.0,0
7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Apple Cider Vinegar,1.0,0
7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Apple Cider Vinegar,1.0,0
7877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Distilled White Vinegar,1.0,0
7878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Distilled White Vinegar,1.0,0
7879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Distilled White Vinegar,1.0,0
7880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Distilled White Vinegar,1.0,0
7882,0.0,40.0,20.0,0.0,1.27,837.0,680.0,40.0,12,Mustard Honey,1.0,0
7883,0.0,20.0,20.0,0.0,6.096,418.0,340.0,20.0,12,Mustard Horseradish,0.81,1
7884,46.88,25.0,9.38,21.88,1.1125200000000002,2351.0,2625.28,93.76,0,Creamy Peanut Butter,1.0,0
7885,46.88,28.12,12.5,21.88,1.1125200000000002,2351.0,2678.32,96.88,0,Crunchy Peanut Butter,1.0,0
7886,50.0,21.88,6.25,21.88,0.39624,2485.0,2693.92,93.76,0,Creamy Peanut Butter,1.0,0
7887,37.5,37.5,25.0,18.75,1.19126,2222.0,2418.75,93.75,9,Creamy Peanut Butter Spread With Honey,0.91,1
7888,48.48,24.24,9.09,21.21,0.61468,2410.0,2663.37,93.93,0,Natural Creamy Peanut Butter Spread,1.0,0
7889,46.88,25.0,9.38,21.88,1.1125200000000002,2351.0,2625.28,93.76,0,"Peanut Butter, Creamy",1.0,0
7890,0.0,1.67,1.25,0.0,0.5715,25.0,28.39,1.67,1,Vegetable Stock,1.0,0
7891,2.08,75.0,41.67,4.17,1.27,1393.0,1427.01,81.25,5,Dessert Shells,0.94,0
7892,0.0,3.57,0.0,0.0,4.17322,0.0,60.69,3.57,12,Banana Pepper Rings,1.0,0
7893,0.0,3.57,0.0,0.0,4.17322,0.0,60.69,3.57,12,Banana Pepper Rings,1.0,0
7894,0.0,29.41,23.53,0.0,2.39014,494.0,499.97,29.41,12,Tomato Ketchup,1.0,0
7895,0.0,29.41,23.53,0.0,2.39014,494.0,499.97,29.41,12,Tomato Ketchup,1.0,0
7896,0.0,29.41,23.53,0.0,2.39014,494.0,499.97,29.41,12,Tomato Ketchup,1.0,0
7897,2.0,6.4,0.8,0.8,0.9144,201.0,200.4,9.2,6,Healthy Condensed Soup,1.0,0
7898,1.6,7.2,0.0,1.6,0.93472,201.0,212.0,10.4,6,Healthy Cream Of Chicken Condensed Soup,1.0,0
7899,0.0,29.41,17.65,0.0,3.43662,494.0,499.97,29.41,12,Chili Sauce,1.0,0
7900,2.0,6.4,0.0,2.4,1.91008,234.0,227.6,10.8,6,Homestyle Chicken Noodle Condensed Soup,0.98,0
7901,0.0,28.12,18.75,1.56,2.34188,456.0,504.56,29.68,12,"Cocktail Sauce, Original",1.0,0
7902,0.0,3.57,0.0,0.0,2.44856,0.0,60.69,3.57,12,Zesty Garlic Chips Pickles,1.0,0
7903,2.68,73.21,3.57,12.5,0.0,1569.0,1561.59,88.39,10,"100% Whole Grain Spaghetti, Whole Wheat Macaroni Product",1.0,0
7904,2.68,73.21,3.57,12.5,0.0,1569.0,1561.59,88.39,10,"Penne Rigate, Whole Wheat Macaroni Product",1.0,0
7905,2.68,73.21,3.57,12.5,0.0,1569.0,1561.59,88.39,10,"100% Whole Grain Rotini, Whole Wheat Macaroni Product",1.0,0
7906,14.0,44.0,20.0,4.0,1.016,1255.0,1362.0,62.0,7,"Fresh Selections., Coffee Cake, Apple Danish",1.0,0
7907,15.79,65.79,42.11,5.26,1.93802,1761.0,1823.66,86.84000000000002,5,"Break'N Bake Cookie Dough, Salted Chocolate Caramel",0.97,0
7908,15.79,65.79,44.74,5.26,1.20396,1761.0,1823.66,86.84000000000002,5,"Break'N Bake Cookie Dough, Red Velvet",0.77,0
7909,18.42,63.16,39.47,5.26,1.27,1870.0,1881.52,86.84,5,"Break'N Bake, Cookie Dough, Deluxe Chocolate Chunk",0.6,0
7910,30.0,60.0,33.33,0.0,2.8778200000000003,2230.0,2190.0,90.0,9,Single Serve Cappuccino Drink Mix,0.98,1
7911,13.33,73.33,40.0,6.67,3.38582,1674.0,1879.87,93.33,9,Single Serve Hot Cocoa Drink Mix,1.0,1
7912,20.83,75.0,58.33,0.0,1.16332,2092.0,2087.37,95.83,5,Coffee Creamer,0.99,0
7913,39.29,46.43,0.0,10.71,3.81,2389.0,2503.69,96.43,2,Sesame Sticks,1.0,1
7914,53.57,21.43,3.57,21.43,1.905,2540.0,2817.85,96.43,0,Roasted & Salted Sunflower Kernels,1.0,0
7915,0.0,85.0,72.5,0.0,0.0,1464.0,1445.0,85.0,12,Valentine Treats,1.0,0
7916,0.0,85.0,72.5,0.0,0.0,1464.0,1445.0,85.0,12,"Valentine Treats, Cherry Jelly Hearts Candy",1.0,0
7917,0.0,95.0,82.5,0.0,0.0,1569.0,1615.0,95.0,12,"Valentine Treats Sours, Cherry",1.0,0
7918,53.12,46.88,31.25,15.62,0.3175,2351.0,3134.18,115.62,9,Fresh Selections Caramel Chocolate Nut Mix,1.0,1
7919,23.68,52.63,42.11,5.26,0.13462000000000002,2423.0,1907.65,81.57000000000002,9,Tropical Paradise Nut Mix,1.0,1
7920,17.5,72.5,57.5,7.5,0.0,1883.0,2042.5,97.5,5,Burnt Peanuts,1.0,0
7921,14.71,70.59,47.06,5.88,0.44704,1724.0,1873.68,91.18,5,Candy Shoppe Chico-O-Sticks,1.0,0
7922,0.0,100.0,71.43,0.0,0.0,1494.0,1700.0,100.0,12,Candy Shoppe Root Beer Barrels Candy,1.0,0
7923,11.25,72.5,47.5,2.5,0.7924800000000001,1674.0,1713.75,86.25,5,Candy Shoppe,0.68,0
7924,15.0,62.5,65.0,7.5,0.0,1883.0,1775.0,85.0,5,"Candy Shoppe, Boston Baked Beans",0.99,1
7925,0.0,100.0,94.12,0.0,0.0,1477.0,1700.0,100.0,12,Candy Shoppe Atomic Fireball,1.0,0
7926,4.76,88.1,54.76,0.0,0.7874,1594.0,1683.3399999999995,92.86,5,Candy Shoppe Totally Taffy,1.0,0
7927,0.0,12.2,12.2,0.0,0.0,205.0,207.4,12.2,1,Nik-L-Nip Wax Bottles Candy Shoppe,1.0,0
7928,6.25,82.5,45.0,0.0,0.1905,1569.0,1646.25,88.75,5,Candy Shoppe Black Taffy,0.92,0
7929,0.0,85.0,72.5,0.0,0.0,1464.0,1445.0,85.0,12,Cherry Slices Candy,1.0,0
7930,0.0,85.0,72.5,0.0,0.0,1464.0,1445.0,85.0,12,Assorted Fruit Slices Candy,1.0,0
7931,0.0,82.5,70.0,0.0,0.0,1360.0,1402.5,82.5,12,"Candy, Gum Drops",1.0,0
7932,0.0,85.0,72.5,0.0,0.0,1464.0,1445.0,85.0,12,Candy,1.0,0
7933,0.0,83.33,71.43,0.0,0.0,1393.0,1416.61,83.33,12,Candy Spice Drops,1.0,0
7934,0.0,100.0,66.67,0.0,0.33782,1674.0,1700.0,100.0,12,"Mixed Hard Candies, Cinnamon, Butterscotch, Peppermint & Spearmint Naturally And Artificially Flavored",1.0,0
7935,0.0,0.0,0.0,0.0,6.096,0.0,0.0,0.0,12,Cayenne Pepper Hot Sauce,0.64,0
7936,0.0,23.53,23.53,0.0,2.39014,494.0,400.01,23.53,12,Tomato Ketchup,1.0,0
7937,0.0,18.25,14.29,0.0,0.03048,297.0,310.25,18.25,1,Applesauce,1.0,0
7938,0.0,19.53,16.41,0.0,0.03048,326.0,332.01,19.53,1,Applesauce,1.0,0
7939,0.0,10.66,9.02,0.0,0.03048,172.0,181.22,10.66,1,Applesauce,1.0,0
7940,0.0,18.58,14.16,0.0,0.055879999999999985,297.0,315.86,18.58,1,Applesauce,1.0,0
7941,0.0,12.39,8.85,0.0,0.055879999999999985,184.0,210.63,12.39,1,Applesauce,1.0,0
7942,0.0,22.12,15.93,0.0,0.055879999999999985,368.0,376.04,22.12,1,Applesauce,0.92,0
7943,0.0,22.12,16.81,0.0,0.055879999999999985,368.0,376.04,22.12,1,"Apple Sauce, Raspberry",0.99,0
7944,0.0,22.12,16.81,0.0,0.055879999999999985,368.0,376.04,22.12,1,Applesauce,0.99,0
7945,1.79,73.21,3.57,12.5,0.0,1494.0,1526.88,87.5,10,Jumbo Shells Traditional Macaroni Pasta,1.0,0
7946,10.0,3.33,3.33,3.33,0.127,556.0,503.22,16.66,8,Half & Half Ultra-Pasteurized,0.91,0
7947,33.33,0.0,0.0,0.0,0.08382,1393.0,1299.87,33.33,8,Heavy Whipping Cream,0.98,0
7948,3.92,11.37,2.75,3.53,0.7467600000000001,410.0,406.18,18.82,6,Spaghetti & Meatballs In Tomato Sauce,0.98,0
7949,1.92,16.92,3.46,3.85,0.73152,435.0,427.97,22.690000000000005,6,Overstuffed Beef Ravioli In Tomato & Meat Sauce,0.97,0
7950,27.27,45.45,0.0,6.06,2.30886,1904.0,1939.2,78.78,2,"Popcorn, Extra Butter",1.0,0
7951,24.24,48.48,0.0,6.06,1.92532,1774.0,1872.54,78.78,2,"Microwave Popcorn, Butter",1.0,0
7952,0.0,17.86,14.29,0.0,0.0,297.0,303.62,17.86,1,Assorted Pops,1.0,0
7953,0.0,17.86,14.29,0.0,0.0,297.0,303.62,17.86,1,"Red, White & Bubble Pops",1.0,0
7954,0.0,26.67,17.78,4.44,0.19812,556.0,528.87,31.110000000000007,12,Fudge Pops Frozen Chocolate Dairy Dessert,1.0,0
7955,9.09,43.64,21.82,3.64,0.57658,1142.0,1158.27,56.37000000000001,7,Ice Cream Sandwiches,1.0,0
7956,9.09,43.64,21.82,3.64,0.57658,1142.0,1158.27,56.37000000000001,7,Ice Cream Sandwiches,1.0,0
7957,5.36,50.0,26.79,3.57,0.56642,1121.0,1119.73,58.93,7,Ice Cream Sandwiches,1.0,0
7958,0.0,21.74,8.7,6.52,0.19304,410.0,480.42,28.26,12,Fudge Pops,1.0,0
7959,0.75,12.69,0.0,4.48,0.96774,314.0,321.14,17.92,6,Refried Black Beans With Lime Juice,1.0,0
7960,0.83,15.0,0.83,5.0,0.93218,385.0,372.37,20.83,6,"Refried Beans, Traditional",0.95,0
7961,1.89,83.02,37.74,5.66,0.8636,1498.0,1581.27,90.57,5,"Granola Raisin Bran Crunchy, Sweetened Wheat & Rice Flake Cereal With Raisins And Oat Clusters",0.99,0
7962,4.63,77.78,20.37,7.41,1.31826,1628.0,1628.8,89.82,5,Fruit & Multigrain Cereal,0.91,0
7963,5.45,80.0,21.82,7.27,1.56972,1674.0,1696.14,92.72,5,Cranberry Almond Cereal,0.89,0
7964,0.0,4.13,2.48,0.83,0.37846,88.0,84.32,4.96,1,Petite Diced Tomatoes,1.0,0
7965,0.0,7.32,5.69,0.81,0.51562,138.0,138.21,8.13,1,Petite Diced Tomatoes,1.0,0
7966,0.0,7.44,4.96,0.83,0.73406,138.0,140.59,8.27,1,Petite Diced Tomatoes,1.0,0
7967,0.0,19.53,14.06,0.0,0.02032,326.0,332.01,19.53,1,Fruit Cocktail In Heavy Syrup,0.99,0
7968,0.0,12.3,9.02,0.82,0.03048,205.0,223.04,13.12,1,Fruit Cocktail,1.0,0
7969,0.0,19.53,14.06,0.0,0.02032,326.0,332.01,19.53,1,Fruit Cocktail In Heavy Syrup,0.99,0
7970,0.0,17.19,14.84,0.0,0.02032,326.0,292.23,17.19,1,"Sliced Peaches, In Heavy Syrup",0.92,0
7971,0.0,14.0,13.33,0.67,0.0254,251.0,249.39,14.67,1,Mandarin Oranges In Light Syrup,1.0,0
7972,0.0,14.0,13.33,0.67,0.0254,251.0,249.39,14.67,1,Mandarin Oranges In Light Syrup,1.0,0
7973,0.0,10.66,8.2,0.82,0.02032,172.0,195.16,11.48,1,Sliced Peaches In 100% Natural Juice,1.0,0
7974,0.0,17.19,14.84,0.0,0.02032,326.0,292.23,17.19,1,Sliced Peaches In Heavy Syrup,0.92,0
7975,0.0,17.19,14.84,0.0,0.02032,326.0,292.23,17.19,1,Peach Halves In Heavy Syrup,0.92,0
7976,0.0,10.66,8.2,0.82,0.02032,172.0,195.16,11.48,1,Yellow Cling Peach Halves,1.0,0
7977,0.0,17.19,14.84,0.0,0.02032,326.0,292.23,17.19,1,Peach Halves In Heavy Syrup,0.92,0
7978,0.0,11.2,9.6,0.0,0.02032,201.0,190.4,11.2,1,Sliced Pears In Pear Juice,1.0,0
7979,0.0,19.23,14.62,0.0,0.02032,322.0,326.91,19.23,1,Sliced Pears In Heavy Syrup,1.0,0
7980,0.0,16.92,13.85,0.77,0.02032,322.0,300.73,17.69,1,Pear Halves In Heavy Syrup,1.0,0
7981,0.0,11.2,8.0,0.8,0.01016,201.0,204.0,12.0,1,Pear Halves In Pure Juice,1.0,0
7982,0.0,16.92,13.85,0.77,0.02032,322.0,300.73,17.69,1,Pear Halves In Heavy Syrup,1.0,0
7983,0.0,28.24,20.0,0.0,0.18034,494.0,480.08,28.24,12,Pie Filling,1.0,0
7984,0.0,32.94,22.35,1.18,0.04572,540.0,580.04,34.12,12,Pie Filling Cherry,1.0,0
7985,0.0,35.8,24.69,0.0,0.12446,619.0,608.5999999999998,35.8,12,Pie Filling Apple,1.0,0
7986,0.0,20.99,16.05,0.0,0.03048,360.0,356.83,20.99,1,Pie Filling Cherry,0.99,0
7987,32.14,42.86,32.14,14.29,0.04572,2092.0,2225.01,89.28999999999998,5,Trail Mix,0.92,1
7988,28.57,57.14,46.43,10.71,0.36322,2092.0,2267.6800000000007,96.42000000000002,5,Trail Mix,1.0,0
7989,28.57,57.14,46.43,10.71,0.36322,2092.0,2267.6800000000007,96.42000000000002,5,Trail Mix,1.0,0
7990,53.57,21.43,3.57,21.43,0.54356,2540.0,2817.85,96.43,0,Lightly Salted Almonds,1.0,0
7991,0.0,10.0,9.58,0.42,0.0,176.0,177.14,10.42,1,Pure Premium Grapefruit Juice,1.0,0
7992,0.0,13.93,12.3,0.82,0.00508,238.0,250.75,14.75,1,Pineapple Slices,1.0,0
7993,0.0,13.93,12.3,0.82,0.00508,238.0,250.75,14.75,1,Crushed Pineapple In 100% Pineapple Juice,1.0,0
7994,0.0,13.93,12.3,0.82,0.00508,238.0,250.75,14.75,1,Pineapple Chunks In 100% Pineapple Juice,1.0,0
7995,0.0,16.81,15.93,0.0,0.03302,297.0,285.77,16.81,1,Yellow Cling Diced Peaches,1.0,0
7996,8.21,29.85,2.99,8.96,1.66878,967.0,979.9600000000003,47.02,7,Rising Crust Pepperoni Pizza,0.92,0
7997,9.03,28.47,2.78,9.03,1.72974,987.0,989.67,46.53,7,Rising Crust 3 Meat Pizza,0.87,0
7998,2.86,71.43,10.0,12.86,2.35966,1552.0,1544.4700000000007,87.15,10,Macaroni & Cheese,0.99,0
7999,8.77,49.12,0.0,8.77,1.38176,1322.0,1326.16,66.66,7,Fajita Style Flour Tortillas,0.79,0
8000,28.57,4.76,0.0,23.81,1.69418,1594.0,1599.92,57.14,8,Deli Selections Muenster Cheese,1.0,0
8001,17.86,42.86,7.14,7.14,1.905,1494.0,1546.54,67.86,7,Flaky Butter Crescent Rolls,0.84,0
8002,12.28,45.61,8.77,7.02,2.4511,1322.0,1373.63,64.91,2,"Jumbo Flaky Biscuits, Butter",0.79,1
8006,50.0,23.33,3.33,20.0,0.0,2372.0,2686.61,93.33,0,Natural Sliced Almonds,1.0,0
8007,73.33,13.33,3.33,10.0,0.0,2929.0,3256.48,96.66,0,Pecans Halves,1.0,0
8008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Lemon Juice,1.0,0
8009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Lemon Juice,1.0,0
8010,0.0,12.5,10.83,0.0,0.0254,209.0,212.5,12.5,1,"100% Apple Juice, Original",1.0,0
8011,0.0,12.5,10.83,0.0,0.0254,209.0,212.5,12.5,1,100% Apple Juice,1.0,0
8012,0.0,4.17,4.17,0.0,0.07874,71.0,70.89,4.17,1,Light Juice Cocktail,1.0,0
8013,0.0,12.92,12.92,0.0,0.08382,209.0,219.64,12.92,1,Cranberry Grape,1.0,0
8014,0.0,0.0,0.0,0.0,4.67868,1100.0,0.0,0.0,13,"Drink Mix, Natural Lemonade",1.0,1
8015,0.0,13.33,13.33,0.0,0.08382,226.0,226.61,13.33,1,Cranberry Apple Juice Drink Blended With Another Juice From Concentrate,1.0,0
8016,0.0,11.67,11.67,0.0,0.07366,192.0,198.39,11.67,1,Juice Drink,1.0,0
8017,0.0,16.67,16.25,0.0,0.0381,280.0,283.3900000000001,16.67,1,100% Juice,1.0,0
8018,0.0,15.83,15.83,0.0,0.0381,259.0,269.11,15.83,1,"100% Juice, White Grape",1.0,0
8019,0.0,12.5,12.5,0.0,0.0381,209.0,212.5,12.5,1,"Juice Cocktail, Cranberry",1.0,0
8020,0.0,11.67,11.67,0.0,0.06858,192.0,198.39,11.67,1,Ruby Red Grapefruit Juice Drink,1.0,0
8021,0.0,10.42,10.0,0.0,0.0381,176.0,177.14,10.42,1,100% Juice,1.0,0
8022,0.0,4.17,2.92,0.83,0.6654800000000001,88.0,85.0,5.0,1,100% Juice,1.0,0
8023,0.0,17.92,7.08,0.42,0.0381,297.0,311.7800000000001,18.340000000000003,12,100% Prune Juice,1.0,0
8024,6.77,30.83,3.76,9.02,1.52908,912.0,941.48,46.61999999999999,7,Rising Crust 4 Cheese Pizza,0.95,0
8025,0.0,4.17,2.92,0.83,0.6654800000000001,88.0,85.0,5.0,1,"100% Juice, Tomato",1.0,0
8026,0.0,4.17,3.33,0.83,0.4445,88.0,85.0,5.0,1,100% Vegetable Juice,1.0,0
8027,0.0,2.5,1.67,1.67,0.762,71.0,70.89,4.17,1,"Asparagus Spears, Cuts And Tips",0.99,0
8028,0.0,6.92,1.54,2.31,0.74168,159.0,156.91,9.23,1,Artichoke Quarters,0.95,0
8029,0.0,3.33,1.67,0.83,0.61468,71.0,70.72,4.16,1,Green Beans,1.0,0
8030,0.0,3.33,1.67,0.83,0.61468,71.0,70.72,4.16,1,Green Beans,1.0,0
8031,0.0,3.33,1.67,0.83,0.03048,71.0,70.72,4.16,1,Blue Lake Green Beans,1.0,0
8032,0.0,3.33,1.67,0.83,0.03048,71.0,70.72,4.16,1,Blue Lake Green Beans,1.0,0
8033,0.0,3.33,1.67,0.83,0.61468,71.0,70.72,4.16,1,French Style Green Beans,1.0,0
8034,0.0,3.33,1.67,0.83,0.61468,71.0,70.72,4.16,1,Golden Wax Beans,1.0,0
8035,0.38,16.15,1.54,5.38,0.508,322.0,380.82999999999987,21.91,7,Kidney Beans,0.94,0
8036,0.38,16.15,1.54,5.38,0.508,322.0,380.82999999999987,21.91,7,Dark Red Kidney Beans,0.94,0
8037,0.38,16.15,1.54,5.38,0.508,322.0,380.82999999999987,21.91,7,Kidney Beans,0.94,0
8038,0.0,14.62,0.77,4.62,0.78232,289.0,327.08,19.24,12,Red Beans,1.0,0
8039,0.77,15.38,1.54,4.62,0.91948,356.0,370.03,20.770000000000003,6,Chili Beans,0.99,0
8040,0.78,15.5,1.55,4.65,0.92456,356.0,372.97,20.93,6,Chili Beans,0.99,0
8041,6.78,7.2,1.27,6.78,1.32334,498.0,502.08,20.76,8,Chili No Beans,0.77,0
8042,0.77,20.77,8.46,4.62,1.09474,452.0,461.66,26.16,6,Original Baked Beans,0.99,0
8043,0.77,12.31,2.31,4.62,781.53768,322.0,317.8400000000001,17.7,3,Butter Beans,1.0,1
8044,0.4,13.6,0.8,3.2,0.6096,301.0,301.2,17.2,6,Baby Green Lima Beans,0.99,0
8045,0.77,14.62,0.0,5.38,0.7239,356.0,370.03,20.77,6,Black Beans,0.97,0
8046,0.0,12.31,1.54,5.38,0.8001,289.0,300.73,17.69,12,Greta Northern Beans,0.99,0
8047,0.78,12.5,1.56,5.47,0.8128,326.0,335.91,18.75,6,Great Northern Beans,0.99,0
8048,1.54,18.46,5.38,4.62,0.8585200000000001,452.0,452.42,24.62,6,Pork' N Beans,0.99,0
8049,1.54,21.54,6.92,3.85,0.93726,481.0,491.69,26.93,6,Pork'N Beans,0.99,0
8050,0.41,4.08,0.0,3.67,1.016,155.0,147.74,8.16,6,Traditional Soup,0.99,0
8051,3.67,7.35,0.41,1.63,0.8813799999999999,289.0,295.79,12.65,6,Traditional Soup,1.0,0
8052,0.61,10.2,1.22,2.86,0.8305799999999999,238.0,245.81,13.669999999999998,6,Minestrone Soup,1.0,0
8053,0.0,6.67,5.0,0.83,0.52832,138.0,127.5,7.5,1,Diced Beets,1.0,0
8054,0.0,6.67,5.0,0.83,0.52832,138.0,127.5,7.5,1,Sliced Beets,1.0,0
8055,0.0,6.4,4.8,0.8,0.508,134.0,122.4,7.2,1,Whole Beets,1.0,0
8056,0.0,5.0,3.33,0.83,0.52832,105.0,99.11,5.83,1,Sliced Carrots,1.0,0
8057,0.8,11.2,4.8,0.8,0.6096,234.0,235.2,12.8,6,Cream Style Golden Sweet Corn,1.0,0
